ID,Type,Pic_Link,Longitude,Latitude,Text,Hashtags,Created_At
910480613827899392,Not_Specified,,-105.27021289,40.01460816,I'm at City of @BoulderColorado in CO https://t.co/f7UsKpGXQO,[],Wed Sep 20 12:27:48 +0000 2017
910466875485597696,Not_Specified,,-105.28,40.02,"clear sky -&gt; broken clouds
temperature down 47°F -&gt; 44°F
humidity up 38% -&gt; 75%
wind 9mph -&gt; 3mph",[],Wed Sep 20 11:33:13 +0000 2017
910413682080976896,Not_Specified,,-105.273155,40.019604,"last night, I wrote lots of pretty words about staying up extra late because we could sleep in… https://t.co/faeWeDiBIv",[],Wed Sep 20 08:01:51 +0000 2017
910401000355258368,Not_Specified,,-105.28,40.02,"temperature down 55°F -&gt; 47°F
humidity up 26% -&gt; 38%
wind 8mph -&gt; 9mph",[],Wed Sep 20 07:11:27 +0000 2017
910369121858093056,Not_Specified,,-105.27788,40.01016,Just missing Bid day a bit and....There is officially 2 more… https://t.co/BhIrVR4VIK,[],Wed Sep 20 05:04:47 +0000 2017
910364926417530881,Not_Specified,,-105.2705456,40.0149856,Assorted 2017  https://t.co/WWUv6CPaUN,[],Wed Sep 20 04:48:06 +0000 2017
910364034674970624,Not_Specified,,-105.2848052,40.0170414,"Chocolate cigars #cigar @ Piece, Love &amp; Chocolate Company https://t.co/k2wqQj2SJF",['#cigar'],Wed Sep 20 04:44:34 +0000 2017
910363081372553218,Not_Specified,,,,"They said ""hey you don't have a rolling paper do you"" 🤣😍🔥",[],Wed Sep 20 04:40:46 +0000 2017
910362965660065793,Not_Specified,,-105.27729356,40.01538243,My wife has me running all over town for her birthday but that’s OK because that’s not of my… https://t.co/jswQU8ymLc,[],Wed Sep 20 04:40:19 +0000 2017
910359087120048128,Not_Specified,,-105.28245,40.01659,Justine is back from her travels - luckily you've got two chances on Wednesday to get your fix!… https://t.co/DWLcPILDyC,[],Wed Sep 20 04:24:54 +0000 2017
910893397296189440,Not_Specified,,,,Keep your summer glow! All #jLounge skincare products are 20% off until September 30th! #sale #Boulderco… https://t.co/2zxLwYtvje,"['#jLounge', '#sale', '#Boulderco']",Thu Sep 21 15:48:04 +0000 2017
910862973345951746,Not_Specified,,,,Wow! My new spirit animal. #blackfox #boulderco #boulderlife… https://t.co/qiGwjUhky8,"['#blackfox', '#boulderco', '#boulderlife']",Thu Sep 21 13:47:10 +0000 2017
910695152313761792,Not_Specified,,,,"The painted ladies are peaking. 😊🦋 By @andrewhyde.

#bouldercolorado #boulderco #Chautauqua… https://t.co/HvaG851bLL","['#bouldercolorado', '#boulderco', '#Chautauqua']",Thu Sep 21 02:40:18 +0000 2017
910646987107721216,photo,https://pbs.twimg.com/media/DKNEh0bUQAEkwVH.jpg,,,"~Cheers
#WineWednesday
#WineWednesdays
#Boulder #BoulderCO
#Colorado #OnlyInColorado https://t.co/0mCy6Y16YI","['#WineWednesday', '#WineWednesdays', '#Boulder', '#BoulderCO', '#Colorado', '#OnlyInColorado']",Wed Sep 20 23:28:55 +0000 2017
910638852024410112,Not_Specified,,,,"RT @OnlyInBoulder: #WednesdayWisdom &lt;&gt; #WordsOfWisdom

😎💪🙌😎 ""Let your freak flag fly""  😎💪🙌😎

#QuotesToLiveBy
#Boulder  #BoulderCO
#Colorad…","['#WednesdayWisdom', '#WordsOfWisdom', '#QuotesToLiveBy', '#Boulder', '#BoulderCO']",Wed Sep 20 22:56:35 +0000 2017
910561748306075648,Not_Specified,,,,"RT @BoulderUnivInn: A great way to spend the day while visiting Boulder!
#BoulderCO  #VisitBoulder  #EldoradoCanyon https://t.co/Hng4TqHhul","['#BoulderCO', '#VisitBoulder', '#EldoradoCanyon']",Wed Sep 20 17:50:12 +0000 2017
